"lipid_class","structural_category","reported_acyl_chain_metadata","excluded_backbone_or_nonacyl_moiety","accepted_notation","handling_of_sum_composition_only_names","special_handling_and_normalization","representative_interpretation","implemented_rule_id"
"FA","Single-chain lipid","The single fatty acyl chain is reported directly.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: FA 20:4 -> reported chain 20:4.","fatty_acid"
"GD1a","Sphingolipid","Only the N-acyl chain is reported; the long-chain base is removed before reporting.","The first token is removed and interpreted as the sphingoid long-chain base.","Slash-delimited notation is parsed explicitly.","Sum-composition-only names are ignored unless molecular-species evidence is present.","FA suffixes in parentheses are captured; O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: Cer 18:1;O2/24:1 -> reported chain 24:1 only.","ceramide_force_drop_base"
"GD1b","Sphingolipid","Only the N-acyl chain is reported; the long-chain base is removed before reporting.","The first token is removed and interpreted as the sphingoid long-chain base.","Slash-delimited notation is parsed explicitly.","Sum-composition-only names are ignored unless molecular-species evidence is present.","FA suffixes in parentheses are captured; O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: Cer 18:1;O2/24:1 -> reported chain 24:1 only.","ceramide_force_drop_base"
"GD2","Sphingolipid","Only the N-acyl chain is reported; the long-chain base is removed before reporting.","The first token is removed and interpreted as the sphingoid long-chain base.","Slash-delimited notation is parsed explicitly.","Sum-composition-only names are ignored unless molecular-species evidence is present.","FA suffixes in parentheses are captured; O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: Cer 18:1;O2/24:1 -> reported chain 24:1 only.","ceramide_force_drop_base"
"GD3","Sphingolipid","Only the N-acyl chain is reported; the long-chain base is removed before reporting.","The first token is removed and interpreted as the sphingoid long-chain base.","Slash-delimited notation is parsed explicitly.","Sum-composition-only names are ignored unless molecular-species evidence is present.","FA suffixes in parentheses are captured; O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: Cer 18:1;O2/24:1 -> reported chain 24:1 only.","ceramide_force_drop_base"
"GM1","Sphingolipid","Only the N-acyl chain is reported; the long-chain base is removed before reporting.","The first token is removed and interpreted as the sphingoid long-chain base.","Slash-delimited notation is parsed explicitly.","Sum-composition-only names are ignored unless molecular-species evidence is present.","FA suffixes in parentheses are captured; O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: Cer 18:1;O2/24:1 -> reported chain 24:1 only.","ceramide_force_drop_base"
"GM3","Sphingolipid","Only the fatty acyl chain is reported; the long-chain base is removed before reporting.","The first token is removed and interpreted as the sphingoid long-chain base.","Slash-delimited notation is parsed explicitly.","Sum-composition-only names are ignored unless molecular-species evidence is present.","FA suffixes in parentheses are captured; O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: GM3 18:1;O2/24:1 -> reported chain 24:1 only.","gm3_mixed_notation"
"GQ1b","Sphingolipid","Chain parsing follows sphingolipid notation, but the long-chain base is retained unless a higher-priority override applies.","No class-specific backbone removal is applied.","Slash-delimited notation is parsed explicitly.","Sum-composition-only names are ignored unless molecular-species evidence is present.","O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Interpretation follows the class-specific rule listed in this table.","sphingolipid_generic"
"GT1b","Sphingolipid","Only the N-acyl chain is reported; the long-chain base is removed before reporting.","The first token is removed and interpreted as the sphingoid long-chain base.","Slash-delimited notation is parsed explicitly.","Sum-composition-only names are ignored unless molecular-species evidence is present.","FA suffixes in parentheses are captured; O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: Cer 18:1;O2/24:1 -> reported chain 24:1 only.","ceramide_force_drop_base"
"HBMP","Glycerolipid","All chain tokens present in the lipid name are reported.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: DG 16:0_18:1 -> reported chains 16:0 and 18:1.","glycerolipid"
"Hex2Cer","Sphingolipid","Only the N-acyl chain is reported; the long-chain base is removed before reporting.","The first token is removed and interpreted as the sphingoid long-chain base.","Slash-delimited notation is parsed explicitly.","Sum-composition-only names are ignored unless molecular-species evidence is present.","FA suffixes in parentheses are captured; O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: Cer 18:1;O2/24:1 -> reported chain 24:1 only.","ceramide_force_drop_base"
"Hex3Cer","Sphingolipid","Only the N-acyl chain is reported; the long-chain base is removed before reporting.","The first token is removed and interpreted as the sphingoid long-chain base.","Slash-delimited notation is parsed explicitly.","Sum-composition-only names are ignored unless molecular-species evidence is present.","FA suffixes in parentheses are captured; O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: Cer 18:1;O2/24:1 -> reported chain 24:1 only.","ceramide_force_drop_base"
"HexCer","Sphingolipid","Only the N-acyl chain is reported; the long-chain base is removed before reporting.","The first token is removed and interpreted as the sphingoid long-chain base.","Slash-delimited notation is parsed explicitly.","Sum-composition-only names are ignored unless molecular-species evidence is present.","FA suffixes in parentheses are captured; O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: Cer 18:1;O2/24:1 -> reported chain 24:1 only.","ceramide_force_drop_base"
"LDGCC","Glycerolipid","All chain tokens present in the lipid name are reported.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: DG 16:0_18:1 -> reported chains 16:0 and 18:1.","glycerolipid"
"LDGTS","Glycerolipid","All chain tokens present in the lipid name are reported.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: DG 16:0_18:1 -> reported chains 16:0 and 18:1.","glycerolipid"
"LNAPE","N-acyl lysophospholipid","The chain parsed from the main notation is reported, and FA suffixes in parentheses are additionally captured.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","FA suffixes in parentheses are captured; O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: LNAPE 18:1 (FA 20:4) -> reported chains 18:1 and 20:4.","lnape"
"LPA","Glycerophospholipid","All chain tokens present in molecular-species notation are reported.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","0:0 placeholder chains are removed; O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: PC 16:0/18:1 -> reported chains 16:0 and 18:1.","phospholipid"
"LPC","Glycerophospholipid","All chain tokens present in molecular-species notation are reported.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","0:0 placeholder chains are removed; O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: PC 16:0/18:1 -> reported chains 16:0 and 18:1.","phospholipid"
"LPE","Glycerophospholipid","All chain tokens present in molecular-species notation are reported.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","0:0 placeholder chains are removed; O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: PC 16:0/18:1 -> reported chains 16:0 and 18:1.","phospholipid"
"LPE-N","N-acyl lysophospholipid","The chain parsed from the main notation is reported, and FA suffixes in parentheses are additionally captured.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","FA suffixes in parentheses are captured; O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: LNAPE 18:1 (FA 20:4) -> reported chains 18:1 and 20:4.","lnape"
"LPG","Glycerophospholipid","All chain tokens present in molecular-species notation are reported.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","0:0 placeholder chains are removed; O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: PC 16:0/18:1 -> reported chains 16:0 and 18:1.","phospholipid"
"LPI","Glycerophospholipid","All chain tokens present in molecular-species notation are reported.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","0:0 placeholder chains are removed; O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: PC 16:0/18:1 -> reported chains 16:0 and 18:1.","phospholipid"
"LPS","Glycerophospholipid","All chain tokens present in molecular-species notation are reported.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","0:0 placeholder chains are removed; O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: PC 16:0/18:1 -> reported chains 16:0 and 18:1.","phospholipid"
"LPS-N","N-acyl lysophospholipid","The chain parsed from the main notation is reported, and FA suffixes in parentheses are additionally captured.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","FA suffixes in parentheses are captured; O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: LNAPE 18:1 (FA 20:4) -> reported chains 18:1 and 20:4.","lnape"
"MG","Glycerolipid","All chain tokens present in the lipid name are reported.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: DG 16:0_18:1 -> reported chains 16:0 and 18:1.","glycerolipid"
"MGDG","Glycerolipid","All chain tokens present in the lipid name are reported.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: DG 16:0_18:1 -> reported chains 16:0 and 18:1.","glycerolipid"
"MGMG","Glycerolipid","All chain tokens present in the lipid name are reported.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: DG 16:0_18:1 -> reported chains 16:0 and 18:1.","glycerolipid"
"MLCL","Glycerolipid","All chain tokens present in the lipid name are reported.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: DG 16:0_18:1 -> reported chains 16:0 and 18:1.","glycerolipid"
"MMPE","Glycerolipid","All chain tokens present in the lipid name are reported.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: DG 16:0_18:1 -> reported chains 16:0 and 18:1.","glycerolipid"
"NATau","Glycerophospholipid","All chain tokens present in molecular-species notation are reported.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","0:0 placeholder chains are removed; O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: PC 16:0/18:1 -> reported chains 16:0 and 18:1.","phospholipid"
"NGcGM3","Sphingolipid","No acyl-chain metadata are reported for this class.","Not applicable.","No chain notation is parsed.","Not applicable.","None.","Interpretation follows the class-specific rule listed in this table.","ngcgm3"
"OxFA","Single-chain lipid","The oxidized fatty acyl chain is reported directly, including oxygen annotations.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: OxFA 20:4;O2 -> reported chain 20:4;O2.","oxidized_fatty_acid"
"PA","Glycerophospholipid","All chain tokens present in molecular-species notation are reported.","No class-specific backbone removal is applied.","Molecular-species notation is parsed using '/' first, then '_', then whitespace if needed.","Sum-composition-only names are not explicitly excluded by the class rule.","0:0 placeholder chains are removed; O-/P- prefixes are stripped from reported chain tokens; ';nO' oxygen notation is normalized to ';On'; '18:1(2OH)' is normalized to '18:1;(2OH)'.","Example: PC 16:0/18:1 -> reported chains 16:0 and 18:1.","phospholipid"
